CPU time (s),GPU time (s), Cycle
0.000683,0.000478,523
0.000719,0.000445,524
0.000713,0.000420,525
0.000723,0.000473,526
0.000682,0.000503,527
0.000684,0.000507,528
0.000685,0.000426,529
0.000682,0.000416,530
0.000683,0.000430,531
0.000685,0.000443,532
0.000683,0.000418,533
0.000683,0.000438,534
0.000684,0.000418,535
0.000682,0.000435,536
0.000683,0.000477,537
0.000682,0.000417,538
0.000682,0.000429,539
0.000684,0.000420,540
0.000683,0.000414,541
0.000682,0.000456,542
0.000683,0.000438,543
0.000682,0.000474,544
0.000721,0.000425,545
0.000703,0.000460,546
0.000731,0.000448,547
0.000683,0.000451,548
0.000685,0.000445,549
0.000684,0.000468,550
0.000684,0.000386,551
0.000684,0.000482,552
0.000682,0.000485,553
0.000686,0.000501,554
0.000684,0.000493,555
0.000683,0.000463,556
0.000685,0.000460,557
0.000682,0.000446,558
0.000682,0.000452,559
0.000682,0.000459,560
0.000683,0.000477,561
0.000684,0.000450,562
0.000685,0.000475,563
0.000685,0.000413,564
0.000683,0.000439,565
0.000685,0.000447,566
0.000682,0.000438,567
0.000683,0.000448,568
0.000682,0.000455,569
0.000683,0.000449,570
0.000683,0.000452,571
0.000683,0.000414,572
0.000683,0.000414,573
0.000683,0.000474,574
0.000685,0.000477,575
0.000684,0.000445,576
0.000683,0.000511,577
0.000683,0.000421,578
0.000686,0.000422,579
0.000683,0.000449,580
0.000682,0.000411,581
0.000682,0.000454,582
0.000683,0.000431,583
0.000684,0.000466,584
0.000683,0.000464,585
0.000682,0.000452,586
0.000681,0.000463,587
0.000683,0.000437,588
0.000682,0.000466,589
0.000682,0.000451,590
0.000683,0.000478,591
0.000684,0.000450,592
0.000683,0.000438,593
0.000682,0.000465,594
0.000682,0.000447,595
0.000682,0.000494,596
0.000683,0.000430,597
0.000683,0.000484,598
0.000683,0.000426,599
0.000682,0.000522,600
0.000683,0.000453,601
0.000723,0.000427,602
0.000715,0.000407,603
0.000720,0.000415,604
0.000725,0.000421,605
0.000680,0.000407,606
0.000683,0.000444,607
0.000684,0.000423,608
0.000683,0.000447,609
0.000683,0.000429,610
0.000683,0.000444,611
0.000683,0.000431,612
0.000681,0.000473,613
0.000682,0.000450,614
0.000682,0.000464,615
0.000683,0.000492,616
0.000683,0.000510,617
0.000682,0.000456,618
0.000682,0.000498,619
0.000682,0.000543,620
