CPU time (s),GPU time (s), Cycle
0.000698,0.000472,544
0.000699,0.000467,545
0.000675,0.000473,546
0.000677,0.000446,547
0.000677,0.000437,548
0.000676,0.000441,549
0.000677,0.000416,550
0.000680,0.000442,551
0.000676,0.000417,552
0.000675,0.000412,553
0.000675,0.000478,554
0.000675,0.000443,555
0.000675,0.000448,556
0.000674,0.000415,557
0.000674,0.000464,558
0.000677,0.000558,559
0.000679,0.000502,560
0.000673,0.000502,561
0.000674,0.000483,562
0.000722,0.000602,563
0.000722,0.000566,564
0.000679,0.000525,565
0.000678,0.000491,566
0.000676,0.000488,567
0.000675,0.000475,568
0.000674,0.000458,569
0.000675,0.000471,570
0.000676,0.000448,571
0.000676,0.000412,572
0.000676,0.000443,573
0.000675,0.000437,574
0.000677,0.000443,575
0.000675,0.000439,576
0.000678,0.000445,577
0.000674,0.000475,578
0.000675,0.000456,579
0.000676,0.000418,580
0.000675,0.000443,581
0.000675,0.000442,582
0.000678,0.000413,583
0.000676,0.000439,584
0.000675,0.000418,585
0.000677,0.000452,586
0.000674,0.000467,587
0.000692,0.000446,588
0.000676,0.000457,589
0.000677,0.000418,590
0.000674,0.000422,591
0.000675,0.000488,592
0.000671,0.000438,593
0.000676,0.000497,594
0.000679,0.000550,595
0.000676,0.000469,596
0.000675,0.000451,597
0.000676,0.000450,598
0.000675,0.000471,599
0.000674,0.000467,600
0.000675,0.000486,601
0.000676,0.000468,602
0.000680,0.000466,603
0.000673,0.000483,604
0.000673,0.000442,605
0.000675,0.000461,606
0.000694,0.000449,607
0.000701,0.000466,608
0.000697,0.000469,609
0.000678,0.000443,610
0.000680,0.000485,611
0.000677,0.000457,612
0.000673,0.000466,613
0.000677,0.000444,614
0.000675,0.000457,615
0.000674,0.000424,616
0.000676,0.000411,617
0.000674,0.000436,618
0.000678,0.000443,619
0.000674,0.000411,620
0.000677,0.000410,621
0.000677,0.000413,622
0.000675,0.000411,623
0.000675,0.000414,624
0.000676,0.000444,625
0.000678,0.000409,626
0.000675,0.000444,627
0.000674,0.000435,628
0.000677,0.000436,629
0.000675,0.000413,630
0.000674,0.000490,631
0.000702,0.000441,632
0.000695,0.000445,633
0.000698,0.000463,634
0.000676,0.000438,635
0.000674,0.000477,636
0.000675,0.000447,637
0.000676,0.000422,638
0.000676,0.000446,639
0.000678,0.000476,640
0.000677,0.000446,641
0.000673,0.000435,642
0.000675,0.000412,643
0.000675,0.000445,644
0.000677,0.000432,645
0.000678,0.000411,646
0.000675,0.000417,647
0.000673,0.000424,648
0.000674,0.000444,649
0.000675,0.000410,650
0.000675,0.000418,651
0.000674,0.000445,652
0.000676,0.000416,653
0.000673,0.000419,654
0.000673,0.000444,655
0.000675,0.000457,656
0.000694,0.000415,657
0.000695,0.000416,658
0.000692,0.000409,659
0.000695,0.000416,660
0.000675,0.000415,661
0.000680,0.000414,662
0.000678,0.000410,663
0.000678,0.000486,664
0.000679,0.000421,665
0.000675,0.000465,666
0.000675,0.000445,667
0.000675,0.000446,668
0.000676,0.000446,669
0.000676,0.000463,670
0.000674,0.000451,671
0.000674,0.000451,672
0.000679,0.000483,673
0.000680,0.000538,674
0.000679,0.000516,675
0.000678,0.000476,676
0.000674,0.000519,677
0.000676,0.000473,678
0.000700,0.000466,679
0.000698,0.000465,680
0.000698,0.000469,681
0.000699,0.000458,682
0.000676,0.000482,683
0.000675,0.000470,684
0.000677,0.000472,685
0.000676,0.000437,686
0.000674,0.000462,687
0.000673,0.000463,688
0.000676,0.000481,689
0.000676,0.000471,690
0.000678,0.000493,691
0.000677,0.000471,692
0.000676,0.000476,693
0.000673,0.000473,694
0.000675,0.000481,695
0.000675,0.000463,696
0.000674,0.000503,697
0.000673,0.000477,698
0.000698,0.000475,699
0.000700,0.000471,700
0.000699,0.000463,701
0.000701,0.000444,702
0.000675,0.000488,703
0.000679,0.000472,704
0.000681,0.000451,705
0.000675,0.000422,706
0.000676,0.000412,707
0.000674,0.000403,708
0.000675,0.000472,709
0.000675,0.000441,710
0.000676,0.000490,711
0.000674,0.000446,712
0.000676,0.000437,713
0.000677,0.000505,714
0.000677,0.000505,715
0.000677,0.000473,716
0.000676,0.000468,717
0.000699,0.000467,718
0.000703,0.000498,719
0.000697,0.000439,720
0.000676,0.000483,721
0.000678,0.000440,722
0.000674,0.000446,723
0.000677,0.000444,724
0.000678,0.000435,725
0.000676,0.000441,726
0.000675,0.000440,727
0.000674,0.000489,728
0.000680,0.000427,729
0.000674,0.000452,730
0.000675,0.000446,731
0.000677,0.000478,732
0.000677,0.000475,733
0.000674,0.000466,734
0.000672,0.000486,735
0.000675,0.000441,736
0.000680,0.000467,737
0.000698,0.000440,738
0.000695,0.000481,739
0.000701,0.000491,740
0.000700,0.000505,741
0.000672,0.000439,742
0.000676,0.000445,743
0.000674,0.000466,744
0.000676,0.000470,745
0.000673,0.000486,746
0.000674,0.000441,747
0.000678,0.000493,748
0.000706,0.000523,749
0.000701,0.000536,750
0.000681,0.000573,751
0.000681,0.000545,752
0.000677,0.000493,753
0.000675,0.000502,754
0.000674,0.000477,755
0.000675,0.000468,756
0.000678,0.000470,757
0.000679,0.000447,758
0.000680,0.000449,759
0.000677,0.000516,760
0.000675,0.000471,761
0.000701,0.000489,762
0.000698,0.000474,763
0.000699,0.000450,764
0.000700,0.000469,765
0.000676,0.000484,766
0.000675,0.000490,767
0.000677,0.000424,768
0.000677,0.000483,769
0.000676,0.000484,770
0.000674,0.000471,771
0.000673,0.000468,772
0.000677,0.000442,773
0.000677,0.000480,774
0.000676,0.000466,775
0.000675,0.000463,776
0.000674,0.000441,777
0.000674,0.000446,778
0.000676,0.000441,779
0.000674,0.000464,780
0.000675,0.000459,781
0.000677,0.000467,782
0.000699,0.000465,783
0.000699,0.000438,784
0.000697,0.000439,785
0.000695,0.000463,786
0.000677,0.000436,787
0.000676,0.000421,788
0.000676,0.000444,789
0.000677,0.000442,790
0.000675,0.000467,791
0.000677,0.000467,792
0.000678,0.000442,793
0.000680,0.000670,794
0.000677,0.000517,795
0.000675,0.000505,796
0.000673,0.000494,797
0.000677,0.000491,798
0.000675,0.000471,799
0.000685,0.000468,800
0.000675,0.000457,801
0.000677,0.000484,802
0.000677,0.000445,803
0.000676,0.000456,804
0.000674,0.000477,805
0.000676,0.000468,806
0.000675,0.000469,807
0.000676,0.000418,808
0.000674,0.000482,809
0.000676,0.000467,810
0.000678,0.000478,811
0.000673,0.000482,812
0.000679,0.000559,813
0.000679,0.000503,814
0.000675,0.000487,815
0.000678,0.000482,816
0.000675,0.000469,817
0.000677,0.000465,818
0.000678,0.000467,819
0.000674,0.000470,820
0.000684,0.000467,821
0.000674,0.000469,822
0.000675,0.000473,823
0.000674,0.000463,824
0.000675,0.000439,825
0.000675,0.000448,826
0.000678,0.000470,827
0.000678,0.000455,828
0.000674,0.000448,829
0.000677,0.000435,830
0.000674,0.000478,831
0.000675,0.000437,832
0.000676,0.000465,833
0.000674,0.000492,834
0.000675,0.000450,835
0.000676,0.000461,836
0.000674,0.000489,837
0.000675,0.000476,838
0.000678,0.000468,839
0.000677,0.000440,840
0.000677,0.000444,841
0.000672,0.000454,842
0.000702,0.000472,843
0.000675,0.000467,844
0.000673,0.000483,845
0.000676,0.000472,846
0.000677,0.000471,847
0.000677,0.000444,848
0.000672,0.000451,849
0.000703,0.000470,850
0.000676,0.000443,851
0.000673,0.000499,852
0.000676,0.000439,853
0.000676,0.000437,854
0.000678,0.000438,855
0.000676,0.000452,856
0.000675,0.000446,857
0.000675,0.000443,858
0.000675,0.000471,859
0.000675,0.000465,860
0.000674,0.000441,861
0.000673,0.000441,862
0.000673,0.000481,863
0.000676,0.000485,864
0.000677,0.000443,865
0.000676,0.000467,866
0.000674,0.000470,867
0.000676,0.000437,868
0.000683,0.000464,869
0.000678,0.000440,870
0.000673,0.000437,871
0.000675,0.000468,872
0.000675,0.000484,873
0.000675,0.000463,874
0.000676,0.000462,875
0.000676,0.000438,876
0.000677,0.000455,877
0.000676,0.000464,878
0.000674,0.000483,879
0.000675,0.000448,880
0.000673,0.000470,881
0.000680,0.000438,882
0.000676,0.000439,883
0.000674,0.000435,884
0.000678,0.000440,885
0.000674,0.000439,886
0.000673,0.000461,887
0.000675,0.000438,888
0.000675,0.000465,889
0.000677,0.000437,890
0.000677,0.000437,891
0.000677,0.000540,892
0.000701,0.000667,893
0.000678,0.000575,894
0.000678,0.000548,895
0.000679,0.000597,896
0.000676,0.000547,897
0.000677,0.000547,898
0.000678,0.000548,899
0.000676,0.000562,900
0.000676,0.000553,901
0.000675,0.000592,902
0.000674,0.000568,903
0.000678,0.000550,904
0.000676,0.000547,905
0.000677,0.000569,906
0.000674,0.000541,907
0.000675,0.000542,908
0.000677,0.000574,909
0.000676,0.000555,910
0.000678,0.000555,911
0.000676,0.000552,912
0.000677,0.000546,913
0.000675,0.000573,914
0.000724,0.000556,915
0.000720,0.000560,916
0.000675,0.000543,917
0.000681,0.000557,918
0.000677,0.000542,919
0.000675,0.000550,920
0.000680,0.000548,921
0.000679,0.000554,922
0.000675,0.000560,923
0.000677,0.000594,924
0.000679,0.000567,925
0.000699,0.000545,926
0.000730,0.000553,927
0.000718,0.000541,928
0.000679,0.000557,929
0.000679,0.000543,930
0.000676,0.000554,931
0.000676,0.000549,932
0.000678,0.000541,933
0.000677,0.000535,934
0.000677,0.000672,935
0.000734,0.000589,936
0.000724,0.000548,937
0.000677,0.000557,938
0.000677,0.000545,939
0.000674,0.000533,940
0.000678,0.000555,941
0.000676,0.000532,942
0.000683,0.000558,943
0.000678,0.000585,944
0.000675,0.000570,945
0.000677,0.000624,946
0.000678,0.000617,947
0.000718,0.000543,948
0.000717,0.000542,949
0.000679,0.000539,950
0.000677,0.000553,951
0.000678,0.000552,952
0.000676,0.000559,953
0.000677,0.000557,954
0.000681,0.000552,955
0.000678,0.000552,956
0.000676,0.000545,957
0.000675,0.000579,958
0.000678,0.000549,959
0.000718,0.000543,960
0.000718,0.000549,961
0.000678,0.000536,962
0.000676,0.000541,963
0.000678,0.000534,964
0.000675,0.000514,965
0.000677,0.000506,966
0.000676,0.000504,967
0.000680,0.000550,968
0.000675,0.000554,969
0.000678,0.000537,970
0.000678,0.000533,971
0.000680,0.000612,972
0.000678,0.000535,973
0.000714,0.000536,974
0.000721,0.000552,975
0.000680,0.000560,976
0.000680,0.000557,977
0.000677,0.000550,978
0.000678,0.000551,979
0.000677,0.000554,980
0.000681,0.000580,981
0.000680,0.000549,982
0.000679,0.000584,983
0.000678,0.000564,984
0.000704,0.000544,985
0.000721,0.000572,986
0.000678,0.000562,987
0.000678,0.000544,988
0.000680,0.000560,989
0.000677,0.000538,990
0.000679,0.000558,991
0.000678,0.000538,992
0.000676,0.000599,993
0.000678,0.000562,994
0.000725,0.000554,995
0.000719,0.000537,996
0.000679,0.000550,997
0.000674,0.000545,998
0.000675,0.000531,999
0.000676,0.000543,1000
0.000678,0.000553,1001
0.000680,0.000550,1002
0.000679,0.000564,1003
0.000678,0.000536,1004
0.000677,0.000599,1005
0.000679,0.000562,1006
0.000721,0.000544,1007
0.000723,0.000550,1008
0.000680,0.000623,1009
0.000680,0.000578,1010
0.000679,0.000573,1011
0.000679,0.000579,1012
0.000677,0.000581,1013
0.000681,0.000554,1014
0.000680,0.000583,1015
0.000678,0.000644,1016
0.000675,0.000575,1017
0.000721,0.000573,1018
0.000718,0.000554,1019
0.000679,0.000559,1020
0.000678,0.000559,1021
0.000675,0.000552,1022
0.000676,0.000542,1023
0.000676,0.000548,1024
0.000677,0.000556,1025
0.000677,0.000550,1026
0.000678,0.000550,1027
0.000678,0.000539,1028
0.000677,0.000582,1029
0.000677,0.000573,1030
0.000722,0.000563,1031
0.000720,0.000552,1032
0.000680,0.000540,1033
0.000678,0.000529,1034
0.000677,0.000543,1035
0.000676,0.000528,1036
0.000676,0.000539,1037
0.000676,0.000542,1038
0.000679,0.000552,1039
0.000678,0.000559,1040
0.000680,0.000553,1041
0.000677,0.000593,1042
0.000677,0.000566,1043
0.000707,0.000545,1044
0.000728,0.000558,1045
0.000728,0.000539,1046
0.000678,0.000550,1047
0.000676,0.000561,1048
0.000675,0.000546,1049
0.000674,0.000536,1050
0.000677,0.000539,1051
0.000677,0.000535,1052
0.000675,0.000549,1053
0.000676,0.000537,1054
0.000678,0.000543,1055
0.000679,0.000557,1056
0.000676,0.000566,1057
0.000677,0.000542,1058
0.000675,0.000559,1059
0.000678,0.000531,1060
0.000674,0.000536,1061
0.000679,0.000550,1062
0.000675,0.000536,1063
0.000676,0.000546,1064
0.000676,0.000620,1065
0.000678,0.000620,1066
0.000732,0.000575,1067
0.000726,0.000544,1068
0.000677,0.000553,1069
0.000678,0.000545,1070
0.000678,0.000533,1071
0.000677,0.000553,1072
0.000679,0.000549,1073
0.000676,0.000558,1074
0.000682,0.000543,1075
0.000674,0.000511,1076
0.000678,0.000549,1077
0.000699,0.000533,1078
0.000725,0.000549,1079
0.000718,0.000536,1080
0.000678,0.000553,1081
0.000679,0.000565,1082
0.000674,0.000553,1083
0.000675,0.000538,1084
0.000674,0.000514,1085
0.000677,0.000507,1086
0.000679,0.000507,1087
0.000679,0.000559,1088
0.000676,0.000566,1089
0.000676,0.000583,1090
0.000676,0.000544,1091
0.000736,0.000551,1092
0.000721,0.000536,1093
0.000680,0.000529,1094
0.000678,0.000565,1095
0.000678,0.000558,1096
0.000675,0.000569,1097
0.000675,0.000536,1098
0.000675,0.000553,1099
0.000681,0.000561,1100
0.000679,0.000567,1101
0.000677,0.000550,1102
0.000679,0.000574,1103
0.000725,0.000543,1104
0.000717,0.000540,1105
0.000675,0.000576,1106
0.000674,0.000555,1107
0.000676,0.000524,1108
0.000676,0.000537,1109
0.000678,0.000555,1110
0.000676,0.000559,1111
0.000680,0.000542,1112
0.000678,0.000555,1113
0.000676,0.000536,1114
0.000679,0.000568,1115
0.000701,0.000583,1116
0.000731,0.000561,1117
0.000676,0.000543,1118
0.000677,0.000608,1119
0.000676,0.000602,1120
0.000679,0.000600,1121
0.000678,0.000580,1122
0.000679,0.000551,1123
0.000678,0.000550,1124
0.000682,0.000602,1125
0.000728,0.000561,1126
0.000719,0.000566,1127
0.000678,0.000561,1128
0.000681,0.000608,1129
0.000676,0.000563,1130
0.000676,0.000567,1131
0.000676,0.000546,1132
0.000676,0.000491,1133
0.000676,0.000490,1134
0.000677,0.000481,1135
0.000679,0.000516,1136
0.000676,0.000492,1137
0.000675,0.000517,1138
0.000700,0.000475,1139
0.000703,0.000449,1140
0.000700,0.000466,1141
0.000674,0.000471,1142
0.000676,0.000475,1143
