CPU time (s),GPU time (s), Cycle
0.000682,0.001046,651
0.000681,0.001064,652
0.000680,0.001056,653
0.000683,0.001087,654
0.000694,0.001072,655
0.000685,0.001047,656
0.000680,0.001109,657
0.000680,0.001059,658
0.000684,0.001043,659
0.000683,0.001072,660
0.000681,0.001057,661
0.000692,0.001070,662
0.000681,0.001052,663
0.000680,0.001054,664
0.000680,0.001062,665
0.000679,0.001059,666
0.000683,0.001048,667
0.000680,0.001049,668
0.000691,0.001066,669
0.000682,0.001056,670
0.000681,0.001051,671
0.000679,0.001051,672
0.000700,0.001040,673
0.000681,0.001033,674
0.000681,0.001054,675
0.000681,0.001050,676
0.000680,0.001041,677
0.000682,0.001083,678
0.000682,0.001063,679
0.000690,0.001051,680
0.000681,0.001057,681
0.000680,0.001047,682
0.000683,0.001041,683
0.000680,0.001035,684
0.000681,0.001036,685
0.000682,0.001070,686
0.000690,0.001064,687
0.000682,0.001049,688
0.000683,0.001060,689
0.000681,0.001037,690
0.000680,0.001093,691
0.000680,0.001038,692
0.000679,0.001062,693
0.000682,0.001045,694
0.000679,0.001037,695
0.000690,0.001053,696
0.000682,0.001059,697
0.000683,0.001080,698
0.000682,0.001053,699
0.000707,0.001033,700
0.000679,0.001051,701
0.000690,0.001057,702
0.000680,0.001053,703
0.000682,0.001042,704
0.000681,0.001034,705
0.000680,0.001055,706
0.000690,0.001021,707
0.000679,0.001053,708
0.000680,0.001062,709
0.000708,0.001047,710
0.000679,0.001049,711
0.000689,0.001043,712
0.000680,0.001037,713
0.000684,0.001047,714
0.000682,0.001042,715
0.000683,0.001038,716
0.000695,0.001062,717
0.000682,0.001079,718
0.000691,0.001036,719
0.000681,0.001063,720
0.000681,0.001038,721
0.000684,0.001042,722
0.000682,0.001024,723
0.000692,0.001022,724
0.000680,0.001042,725
0.000682,0.001021,726
0.000681,0.001028,727
0.000679,0.001066,728
0.000692,0.001046,729
0.000680,0.001052,730
0.000682,0.001043,731
0.000679,0.001080,732
0.000682,0.001114,733
0.000682,0.001056,734
0.000704,0.001037,735
0.000685,0.001041,736
0.000682,0.001036,737
0.000680,0.001049,738
0.000680,0.001039,739
0.000687,0.001049,740
0.000680,0.001044,741
0.000695,0.001072,742
0.000682,0.001054,743
0.000681,0.001066,744
0.000679,0.001042,745
0.000682,0.001035,746
0.000678,0.001043,747
0.000682,0.001040,748
0.000683,0.001058,749
0.000682,0.001079,750
0.000680,0.001034,751
0.000681,0.001029,752
0.000703,0.001121,753
0.000682,0.001078,754
0.000684,0.001106,755
0.000683,0.001058,756
0.000680,0.001037,757
0.000687,0.001068,758
0.000682,0.001050,759
0.000691,0.001049,760
0.000684,0.001156,761
0.000682,0.001119,762
0.000686,0.001096,763
0.000683,0.001159,764
0.000684,0.001152,765
0.000684,0.001090,766
0.000697,0.001094,767
0.000682,0.001125,768
0.000700,0.001088,769
0.000683,0.001054,770
0.000685,0.001123,771
0.000682,0.001115,772
0.000700,0.001129,773
0.000686,0.001180,774
0.000695,0.001086,775
0.000682,0.001077,776
0.000683,0.001095,777
0.000685,0.001145,778
0.000681,0.001090,779
0.000680,0.001145,780
0.000683,0.001083,781
0.000683,0.001065,782
0.000684,0.001148,783
0.000684,0.001191,784
0.000685,0.001116,785
0.000683,0.001066,786
0.000686,0.001159,787
0.000686,0.001144,788
0.000683,0.001065,789
0.000682,0.001111,790
0.000681,0.001023,791
0.000698,0.001094,792
0.000683,0.001084,793
0.000701,0.001172,794
0.000685,0.001185,795
0.000685,0.001107,796
0.000679,0.001080,797
0.000684,0.001216,798
0.000685,0.001235,799
0.000685,0.001210,800
0.000685,0.001132,801
0.000699,0.001139,802
0.000683,0.001111,803
0.000685,0.001149,804
0.000683,0.001149,805
0.000682,0.001240,806
0.000684,0.001088,807
0.000701,0.001129,808
0.000683,0.002315,809
0.000683,0.001137,810
0.000747,0.001083,811
0.000685,0.001093,812
0.000685,0.001105,813
0.000684,0.002223,814
0.000686,0.001196,815
0.000683,0.001077,816
0.000682,0.001145,817
0.000727,0.001157,818
0.000685,0.001232,819
0.000684,0.001215,820
0.000705,0.001127,821
0.000686,0.001105,822
0.000683,0.001088,823
0.000682,0.001085,824
0.000732,0.001092,825
0.000679,0.001097,826
0.000682,0.002261,827
0.000685,0.001132,828
0.000681,0.001087,829
0.000684,0.001075,830
0.000683,0.001173,831
0.000734,0.001093,832
0.000684,0.001084,833
0.000685,0.001129,834
0.000683,0.001093,835
0.000735,0.001085,836
0.000685,0.001153,837
0.000683,0.001088,838
0.000685,0.001095,839
0.000706,0.001086,840
0.000685,0.001139,841
0.000685,0.001119,842
0.000704,0.001108,843
0.000685,0.001098,844
0.000683,0.001105,845
0.000685,0.001096,846
0.000683,0.001092,847
0.000738,0.001085,848
0.000683,0.001147,849
0.000684,0.001152,850
0.000684,0.001079,851
0.000749,0.001085,852
0.000685,0.001096,853
0.000685,0.001089,854
0.000684,0.001178,855
0.000713,0.001106,856
0.000684,0.001141,857
0.000701,0.001130,858
0.000685,0.001089,859
0.000706,0.001132,860
0.000682,0.001087,861
0.000684,0.001102,862
0.000685,0.001162,863
0.000708,0.001104,864
0.000681,0.001069,865
0.000685,0.001069,866
0.000683,0.001121,867
0.000704,0.001080,868
0.000684,0.001078,869
0.000682,0.001076,870
0.000681,0.001076,871
0.000684,0.001065,872
0.000706,0.001136,873
0.000682,0.001071,874
0.000685,0.001074,875
0.000685,0.001120,876
0.000682,0.001075,877
0.000727,0.001089,878
0.000682,0.001120,879
0.000682,0.001076,880
0.000682,0.001172,881
0.000731,0.001061,882
0.000681,0.001065,883
0.000683,0.001078,884
0.000681,0.001064,885
0.000683,0.001083,886
0.000703,0.001075,887
0.000681,0.001076,888
0.000683,0.001060,889
0.000683,0.001146,890
0.000682,0.001083,891
0.000683,0.001073,892
0.000684,0.001058,893
0.000680,0.001066,894
0.000680,0.001120,895
0.000686,0.001067,896
0.000686,0.001055,897
0.000684,0.001070,898
0.000684,0.001066,899
0.000722,0.001146,900
0.000682,0.001057,901
0.000685,0.001065,902
0.000684,0.001075,903
0.000684,0.001055,904
0.000720,0.001075,905
0.000682,0.001094,906
0.000685,0.001094,907
0.000682,0.001123,908
0.000683,0.001123,909
0.000715,0.001137,910
0.000686,0.001109,911
0.000683,0.001109,912
0.000684,0.001101,913
0.000683,0.001177,914
0.000683,0.001194,915
0.000687,0.002278,916
0.000753,0.001134,917
0.000683,0.001131,918
0.000701,0.001146,919
0.000682,0.001123,920
0.000683,0.001148,921
0.000723,0.001137,922
0.000683,0.001120,923
0.000684,0.001129,924
0.000684,0.001134,925
0.000682,0.001233,926
0.000683,0.001194,927
0.000686,0.001122,928
0.000685,0.001130,929
0.000685,0.001119,930
0.000682,0.001115,931
0.000682,0.002232,932
0.000685,0.001118,933
0.000685,0.001177,934
0.000685,0.001124,935
0.000705,0.001107,936
0.000683,0.001107,937
0.000687,0.001121,938
0.000681,0.001123,939
0.000683,0.001098,940
0.000683,0.001128,941
0.000683,0.001111,942
0.000683,0.001128,943
0.000696,0.001157,944
0.000682,0.001175,945
0.000682,0.001135,946
0.000685,0.001122,947
0.000683,0.001128,948
0.000684,0.001108,949
0.000685,0.001127,950
0.000682,0.001146,951
0.000679,0.001120,952
0.000685,0.001210,953
0.000731,0.001137,954
0.000683,0.001142,955
0.000683,0.001077,956
0.000754,0.001127,957
0.000684,0.002199,958
0.000784,0.001112,959
0.000699,0.001100,960
0.000815,0.001129,961
0.000750,0.001181,962
0.000683,0.001075,963
0.000682,0.002284,964
0.000680,0.001097,965
0.000682,0.001145,966
0.000681,0.001130,967
0.000683,0.001108,968
0.000698,0.001056,969
0.000716,0.001121,970
0.000684,0.001096,971
0.000703,0.001084,972
0.000683,0.001103,973
0.000763,0.001099,974
0.000682,0.001073,975
0.000744,0.001096,976
0.000684,0.001122,977
0.000685,0.001095,978
0.000683,0.001147,979
0.000683,0.001099,980
0.000699,0.001132,981
0.000683,0.001109,982
0.000683,0.001185,983
0.000682,0.001075,984
0.000754,0.001097,985
0.000683,0.001109,986
0.000684,0.001153,987
0.000684,0.001092,988
0.000681,0.001171,989
0.000740,0.001121,990
0.000682,0.001129,991
0.000684,0.001084,992
